Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
babasse,FR,0,0,79.91.7.24,24.7.91-79.rev.gaoland.net,9001,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
bach,DE,1614,8,212.42.236.140,torproject.org.all.de,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.2.16-alpha (git-04ed53b25b260ea7) on Linux i686,0,0
backslash777,SK,106,24,95.170.245.53,vm.it-admin.sk,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
badltnnt,TH,0,1,61.90.30.136,ppp-61-90-30-136.revip.asianet.co.th,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.22 on Very recent version of Windows [major=6-minor=1]  [workstation] {terminal services- single user},0,0
badserii,MD,0,0,95.65.58.105,95-65-58-105.starnet.md,9001,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
BahTheSheep,NL,9,0,80.56.78.10,f78010.upc-f.chello.nl,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.1.26 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
baird,GB,1,0,82.6.96.233,cpc3-cmbg7-0-0-cust232.5-4.cable.virginmedia.com,9001,None,0,1,0,0,0,0,1,1,0,Tor 0.2.3.0-alpha-dev (git-2835dcf69f5bafd6) on Darwin i386,0,0
Bakla,US,21,2,75.41.183.124,adsl-75-41-183-124.dsl.irvnca.sbcglobal.net,443,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.26 on Very recent version of Windows [major=6-minor=1]  [workstation] {terminal services- single user},0,0
Bakunin,US,0,0,76.99.24.153,c-76-99-24-153.hsd1.pa.comcast.net,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Very recent version of Windows [major=6-minor=1]  [workstation] {personal} {terminal services- single user},0,0
balabitmaxomit,DE,30,26,78.46.63.13,mail.ncc-it.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
balastor,AR,396,8,200.58.118.143,tjtechco.com,80,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux x86_64,0,0
Balder,SE,9,14,80.217.123.41,c80-217-123-41.bredband.comhem.se,80,22,0,0,1,0,1,1,1,1,1,Tor 0.2.1.26 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
baphomet,DE,151,35,85.214.68.105,amongsari.de,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
barbot,FR,6,17,95.130.10.15,barbot.ahtna.org,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
Bard,CA,6,27,69.67.175.146,69.67.175.146,443,None,0,1,1,0,1,1,1,1,0,Tor 0.2.1.26 on Windows Server 2003 Service Pack 2 [workstation] {terminal services- single user},0,0
barf,CA,11,0,76.10.176.79,genergest.ath.cx,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.25 on Linux i686,0,0
BarkerJrNet,CA,8,0,67.212.93.230,67.212.93.230,119,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux i686,0,0
BarkerJrParis1a,FR,1006,102,92.243.8.139,ratchet.barkerjr.net,21,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.13-alpha (git-feb8c1b5f67f2c6f) on Linux i686,0,0
BarkingMad,US,206,43,71.178.19.93,static-71-178-19-93.washdc.fios.verizon.net,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.0.34 (r18423) on Linux i686,0,0
barrysoetoro,CA,13,7,206.248.138.177,mail.gtfaerospace.com,9001,None,0,1,1,0,1,1,1,1,0,Tor 0.2.0.35 on Linux x86_64,0,0
Bashl0r,DE,0,0,79.193.47.175,p4FC12FAF.dip.t-dialin.net,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.20 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
bazinga,DE,29,0,93.132.112.197,ulmg-5d8470c5.pool.mediaWays.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.1.22 on OpenBSD amd64,0,0
bc1245cbe16d5ee9b2,NL,247,7,194.145.200.128,vps279.directvps.nl,443,8080,0,1,1,1,1,1,1,1,1,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux i686,0,0
BCS2005,DE,2,0,217.84.83.11,pD954530B.dip0.t-ipconnect.de,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
bdf522fe,US,6,226,66.250.216.134,66.250.216.134,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.23 on FreeBSD i386,0,0
BeagleBoysTOR,DK,1,1,62.107.252.144,3e6bfc90.rev.stofanet.dk,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Windows Server 2003 Service Pack 2 [domain controller] {terminal services- single user} {small business} {small business- restricted} {terminal services},0,0
beastman,US,88,43,97.93.87.127,97-93-87-127.static.rvsd.ca.charter.com,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
beasty,DE,4,0,91.2.68.171,p5B0244AB.dip.t-dialin.net,443,None,0,0,1,0,1,0,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
beershakes,DE,398,43,78.46.246.116,hank4.marquart.se,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
believe,SE,66,8,91.123.195.179,91.123.195.179,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
BelieveInGood,US,6,149,209.20.75.107,209-20-75-107.slicehost.net,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
ben,GB,6,65,193.104.35.225,193.104.35.225,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
bender,US,49,6,98.103.199.90,rrcs-98-103-199-90.central.biz.rr.com,2000,2001,0,0,1,0,0,1,1,1,1,Tor 0.2.0.35 on FreeBSD i386,0,0
benek,PL,29,0,89.78.166.193,chello089078166193.chello.pl,13172,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
benna,DE,0,0,87.178.157.121,p57B29D79.dip.t-dialin.net,443,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.1.25 on Very recent version of Windows [major=6-minor=1]  [workstation] {personal} {terminal services- single user},0,0
berbre3,FR,1,0,92.157.181.6,ALyon-552-1-142-6.w92-157.abo.wanadoo.fr,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.1.26 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
bernd,DE,22,91,134.169.86.54,srv2.isww.bau.tu-bs.de,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
bertor,SE,50,30,62.80.200.184,tor-proxy.abc.se,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.15-alpha (git-1f81474b2eaa1600) on Linux i686,0,0
berurier,FR,2,0,82.236.103.190,soy95-2-82-236-103-190.fbx.proxad.net,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
BeTor,BE,0,0,87.67.169.71,71.169-67-87.adsl-dyn.isp.belgacom.be,4430,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.25 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
Betta,IT,0,0,79.13.234.223,host223-234-dynamic.13-79-r.retail.telecomitalia.it,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Very recent version of Windows [major=6-minor=1]  [workstation] {terminal services- single user},0,0
BGE,DE,4,0,92.195.138.214,port-92-195-138-214.dynamic.qsc.de,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
bgo,FR,2,0,79.91.233.48,48.233.91-79.rev.gaoland.net,443,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.1.26 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
BigBrassBalls,DE,599,46,193.37.152.204,tor.funk.org,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
bigbrother23,DE,7,8,87.79.239.139,static-87-79-239-139.netcologne.de,19191,None,0,1,1,0,1,1,1,1,0,Tor 0.2.1.22 on Linux x86_64,0,0
bigbumper,CH,2,0,85.2.115.1,1-115.2-85.cust.bluewin.ch,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.1.25 on Darwin i386,0,0
BigR,NL,95,3,84.29.170.120,541DAA78.cm-5-6c.dynamic.ziggo.nl,443,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
binarHeid,DE,2,0,84.60.26.20,dslb-084-060-026-020.pools.arcor-ip.net,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.0.35 on Linux i586,0,0
BinaryBLENDER,US,7,124,67.100.94.85,host85.telizon.net,443,8080,0,0,1,0,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
Bipbip,FR,2,0,84.97.54.222,222.54.97-84.rev.gaoland.net,443,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.26 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
birdbrain,DE,511,16,85.25.130.135,alpha670.server4you.de,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
